Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
62005,1141.6212,389.06833,281.42773,71067,379.23746,0.6325041,0.9411488,0.5280311,0.7683243,2.027444,0.71610934,1
72769,1098.6217,433.41452,235.5704,69335,364.54718,0.70471734,0.94785017,0.6397625,0.74834687,2.0767422,0.7355633,0
89693,1238.9607,422.84576,271.41092,86165,346.4299,0.66663426,0.9433929,0.57845813,0.7144834,1.6169643,0.7005061,1
55419,1163.4393,402.94617,282.6928,69985,379.5041,0.6225908,0.9416243,0.536499,0.75642836,2.0357127,0.72936803,1
75110,1170.6837,417.61618,289.04565,74501,359.89868,0.62162745,0.9359779,0.5515622,0.7324411,1.8238574,0.716529,1
69623,1272.1968,430.04843,252.50261,90398,373.2867,0.7234598,0.9704924,0.6614955,0.8569952,2.096813,0.7280867,0
86920,1065.1672,452.7021,277.70703,73327,358.10193,0.7103305,0.94001126,0.5947099,0.78173083,1.9765756,0.70319825,1
85269,1138.8849,442.61063,301.93445,89982,359.91907,0.6052005,0.9348306,0.58971137,0.730962,1.6447605,0.762025,1
69666,1303.9938,416.83484,273.87274,68106,364.98428,0.6743487,0.9740191,0.69856244,0.619962,2.1312332,0.71814895,1
91273,1212.3456,447.96442,251.86713,71927,304.66132,0.7015243,0.94124025,0.5972682,0.6386368,1.6699868,0.61899686,1
69798,1274.3372,461.46982,226.96962,84535,384.53433,0.6947168,0.97516435,0.6883117,0.7678363,2.2877026,0.80048656,0
91213,1202.4358,438.69016,243.85605,90657,390.3924,0.5954304,0.9535229,0.640389,0.72395915,2.5350342,0.7324501,0
68604,1119.3834,413.23386,284.15515,68093,373.0704,0.6401578,0.9308621,0.52967024,0.77124375,1.9755635,0.7168346,1
83016,1292.7113,433.66666,289.74103,80854,323.00778,0.6015742,0.9388823,0.5438453,0.65758526,1.4321263,0.6924722,1
69126,1271.426,379.66196,271.92584,75708,365.87827,0.6148961,0.9364592,0.54335785,0.75527406,1.8724937,0.75647473,1
58057,1122.7892,402.84778,267.8195,71934,393.20062,0.5928737,0.92766684,0.49807948,0.7740532,2.2732573,0.7899565,1
68756,1230.0588,428.80685,222.81807,59784,339.8986,0.67763394,0.961633,0.58433586,0.7286704,2.1058557,0.75775546,1
68128,1091.3064,455.5288,256.77148,80232,393.79138,0.5723494,0.9354547,0.54815185,0.76084316,2.4993558,0.78547966,1
56907,1116.3374,410.89166,223.35878,57996,359.0844,0.6433047,0.93494755,0.50193596,0.78687906,2.247654,0.77927303,1
118726,1266.1349,525.4894,272.73584,93796,281.78006,0.66816723,0.9645966,0.6905175,0.67787373,1.5792739,0.68205184,0
63100,1094.2966,490.48737,244.27042,88267,396.8463,0.575635,0.94476795,0.578177,0.7982708,2.5131428,0.7961236,0
64047,1100.7881,453.7589,254.83478,92221,397.7995,0.595191,0.9476762,0.55257267,0.7576779,2.5819356,0.81341374,0
53779,1127.8406,398.45343,268.018,66716,381.4556,0.6379111,0.946594,0.5572815,0.7437079,2.1109798,0.7347958,1
69223,1065.0322,384.85953,260.84396,79263,391.9002,0.6196597,0.9404134,0.5505848,0.7659015,2.3950515,0.77520025,0
98713,1048.1582,431.9954,265.93713,91451,344.29486,0.7894722,0.94987786,0.5804985,0.75964046,1.8172934,0.71628565,1
67378,1125.8024,433.5296,250.31052,76805,389.61053,0.7075525,0.9447955,0.6247121,0.8163292,2.337909,0.7761199,0
81736,1050.8208,427.3885,257.87793,64038,362.0377,0.7112986,0.93609214,0.57788914,0.7526922,2.1266134,0.6906342,1
76870,1287.4424,428.87238,214.49248,64420,334.88327,0.7100876,0.9629371,0.5928709,0.7823081,2.3491738,0.7775032,1
107275,1022.26245,426.9656,231.63379,75709,337.07104,0.82754,0.9611869,0.67581487,0.7530023,1.7671144,0.71297026,0
100112,1211.3263,440.11633,279.87717,87027,339.11697,0.7394695,0.96323776,0.6842537,0.78561056,2.0825744,0.74432963,0
63640,1033.659,421.33972,256.5427,62060,365.48877,0.63248146,0.9332029,0.5321821,0.76089597,2.0572672,0.7423118,1
88322,1212.923,411.2082,275.8015,91207,345.83276,0.7379781,0.95351285,0.5693698,0.8016824,1.7366798,0.69254684,1
67388,1145.5961,408.84116,292.94342,76629,372.80353,0.6122681,0.93782926,0.56362444,0.74315965,1.8955604,0.7374431,1
62391,1146.0763,409.8731,286.2954,70528,378.4334,0.6083671,0.9310984,0.50992996,0.77715975,1.9847658,0.7325046,1
61363,1143.1433,440.64645,258.99814,89323,392.2544,0.6400094,0.9558213,0.5870548,0.77858883,2.4652567,0.7911858,0
55014,1271.7495,414.1362,284.42337,82402,387.47125,0.6864896,0.9641797,0.61608887,0.7601203,2.103081,0.72427076,1
67612,1242.4268,413.5666,259.8223,78784,385.68536,0.68727314,0.9657271,0.64240444,0.76813823,2.3001933,0.7470391,0
116120,1353.4791,514.06067,276.27515,97786,283.3545,0.6521622,0.9577063,0.6533677,0.64988256,1.395936,0.69588655,1
64111,1192.0593,416.31268,249.36578,65503,367.43552,0.69085205,0.95639473,0.5607351,0.79189,2.2167902,0.7809672,1
93661,1077.6997,426.14383,245.72672,61936,334.37714,0.7614166,0.9475182,0.6437467,0.67778736,1.9320028,0.69256204,1
80312,1171.7799,428.36154,296.16818,83406,357.51978,0.59596086,0.93410975,0.5669079,0.7204702,1.6530484,0.7418457,1
100031,1197.4148,404.28436,268.7189,92808,360.89844,0.73967814,0.9524551,0.6615118,0.75504315,1.8045791,0.75425816,0
69974,1306.9614,588.3778,233.6222,120212,399.37247,0.6622628,0.97402084,0.7176627,0.8584341,2.7016068,0.8817415,0
55322,1129.1118,484.00174,236.92427,82699,397.9474,0.5983464,0.9498071,0.555334,0.8012532,2.4157617,0.79625046,1
83847,1375.3274,467.0337,265.45557,83588,320.5428,0.6583319,0.9599633,0.6332816,0.66282016,1.7999763,0.682171,1
68797,1052.5453,404.46838,253.38359,82947,377.73175,0.6759096,0.95768297,0.59902143,0.79491067,2.2276697,0.735917,0
63924,1127.8655,406.7967,278.0761,71315,382.04266,0.5915312,0.9305036,0.49963135,0.7677622,2.0749788,0.7430413,1
96898,989.54834,407.14948,270.14938,79252,359.18988,0.8013686,0.9427489,0.5801916,0.8116016,1.9398015,0.76116514,1
62517,1173.5669,376.79584,274.3189,73688,383.5124,0.67791605,0.9560356,0.5819519,0.77964973,2.1397657,0.69819254,1
87178,1209.0227,443.00266,258.29764,75068,328.02716,0.6715025,0.9401544,0.6012392,0.6904028,1.7713991,0.66842186,1
62928,1087.624,413.84918,264.07956,72301,393.69492,0.62941384,0.9466455,0.5610699,0.7236314,2.4151504,0.76836973,1
90146,1096.699,429.50922,281.9674,73452,355.8485,0.71164644,0.94571984,0.61305976,0.7553507,1.9224292,0.7100542,1
83895,1363.7161,409.12183,221.42274,68041,321.03894,0.664068,0.97817636,0.67935145,0.6380391,2.0004897,0.67914003,0
80855,1164.8196,418.53098,291.69537,84522,360.46405,0.6211525,0.9395957,0.5750514,0.7535752,1.8094051,0.7457144,1
95084,1138.4313,379.76608,290.63495,88234,368.32373,0.67144287,0.94232595,0.621035,0.7005354,1.6117089,0.7708507,1
84860,1123.5188,447.32605,293.55057,83882,359.01816,0.6324555,0.93534285,0.58483696,0.754148,1.7186997,0.7410213,1
65226,1231.843,404.69543,273.76147,69121,346.813,0.624715,0.9528134,0.58551455,0.63683844,1.8447781,0.6586864,1
86748,1194.8982,434.40582,270.49194,84559,336.2951,0.6845374,0.94597745,0.5411437,0.70840245,1.6175822,0.6776194,1
76207,1277.5312,438.01028,230.74753,71737,331.51242,0.53831446,0.9493635,0.5585013,0.6888517,1.955446,0.70635116,0
55015,1242.8293,450.49646,246.93146,84937,384.16162,0.6610074,0.9666502,0.62458456,0.7129334,2.2626457,0.7642695,1
78616,1129.4731,423.4568,297.74554,85991,366.53592,0.61227256,0.9386794,0.59562176,0.7280158,1.782409,0.7605622,1
73194,1044.6123,421.2971,251.8436,64912,365.205,0.6972344,0.9324123,0.57828337,0.7634411,2.105075,0.70622087,1
63688,1077.3245,396.54126,275.6959,75258,389.53833,0.57964444,0.93273264,0.5020789,0.7563295,2.2189102,0.757484,1
71541,1192.6128,399.61157,248.2142,70273,375.95758,0.697876,0.9655377,0.6520446,0.7534863,2.1584454,0.74419796,0
81249,1018.60956,458.66705,214.67474,61759,317.8105,0.6487907,0.9372601,0.6385846,0.6157511,2.1990108,0.6538864,0
84207,1080.3059,436.11313,273.88892,70012,351.47342,0.6605402,0.9349914,0.56649315,0.73708844,1.8689361,0.7250984,1
70403,1031.2538,385.5653,256.15674,77585,386.10855,0.6993774,0.93935776,0.57203895,0.807093,2.0560274,0.7795465,0
86154,1208.7844,434.08646,292.31433,88297,347.83868,0.604986,0.940449,0.5826228,0.730734,1.7158854,0.72815436,1
67508,1242.3939,396.1718,245.76712,86782,389.1292,0.72926617,0.9546627,0.6783934,0.8390391,2.0812283,0.8113338,0
79366,1353.9154,450.7249,247.59119,71518,302.80945,0.66029364,0.9661279,0.64497876,0.5936758,1.7585021,0.6225663,1
85011,1001.69995,433.6051,253.02133,52742,349.84436,0.7047607,0.93571204,0.55697185,0.83120763,2.4351177,0.75717735,1
79861,1021.3078,465.44183,265.97095,90510,397.94452,0.62876284,0.9398818,0.60916466,0.7113969,2.6192403,0.8030372,0
95478,1155.1763,444.05353,253.4078,80579,337.37967,0.7063111,0.9563477,0.62773454,0.7861314,2.140525,0.7284418,0
73581,1242.138,458.03705,185.7896,77783,351.29767,0.72373307,0.97206646,0.6819859,0.68605745,2.4415703,0.8612733,0
56674,1127.5771,432.69775,247.86961,72362,386.04044,0.62276804,0.9297433,0.5594003,0.7843141,2.1345081,0.80441236,0
66774,1251.6294,394.28897,279.1811,71325,360.52466,0.6168829,0.9330546,0.5138764,0.74929106,1.8440652,0.7261912,1
87110,1092.3306,410.1217,292.00223,81534,367.87357,0.65056497,0.9398697,0.5781667,0.7313808,1.8048532,0.74504507,1
81599,1111.6208,461.01556,283.85138,85952,368.6739,0.61444557,0.9344111,0.5735035,0.76267636,1.9178181,0.76322603,1
64142,1173.1642,451.03937,229.95969,77226,376.28754,0.5592472,0.9406851,0.5368518,0.7497549,2.4206417,0.78219926,0
61350,1163.9717,408.19678,288.98416,70596,375.33722,0.61355555,0.9330413,0.516513,0.7748636,1.9414437,0.7276162,1
82508,1114.3365,449.23798,288.03555,79405,361.056,0.6439295,0.9346337,0.57441676,0.77120745,1.7994983,0.7309122,1
73460,1090.5107,421.45712,270.48776,69547,376.1974,0.6381371,0.93294597,0.5338368,0.7495682,2.1944242,0.7283608,1
66039,1055.6094,404.11682,251.51892,63315,380.04626,0.6764116,0.9495031,0.60070324,0.72498375,2.1837792,0.7382047,1
84858,1235.9329,428.2152,254.31601,67874,323.00354,0.6905778,0.9516476,0.62885195,0.62775236,1.8117094,0.65062743,1
110652,1082.3167,518.7474,290.70657,91436,323.82968,0.7588638,0.9509488,0.65240747,0.81369853,1.8103294,0.6931654,1
68275,1060.9985,418.00583,255.48564,89258,394.1562,0.7022877,0.94262403,0.62001115,0.8278048,2.2467685,0.81777406,0
77087,1149.669,404.89258,255.66759,81034,363.3478,0.6903399,0.9430195,0.6226675,0.75210476,2.007186,0.7580941,0
79454,1373.8788,472.7962,275.9795,86132,327.3254,0.62456685,0.95077443,0.59665877,0.6738908,1.7365576,0.6671631,1
71546,1217.321,400.38028,271.0469,84192,378.3465,0.61997527,0.93456936,0.5717054,0.76184744,1.9389217,0.78318536,1
75420,1120.3622,409.2442,243.69756,75599,375.47275,0.6994612,0.93449205,0.6629729,0.74732137,1.9764606,0.8129531,0
61405,1113.4038,376.73367,254.98444,66493,378.21307,0.65696704,0.932012,0.5577572,0.7639668,2.070601,0.7551344,1
87595,1170.3931,400.38934,226.74002,71698,371.11212,0.81171703,0.9652186,0.6976212,0.7871707,2.1753767,0.7759,0
68349,1293.3485,421.6247,272.2123,83136,359.64682,0.64212537,0.9544476,0.6084764,0.72700334,2.0245392,0.70764184,1
84080,1039.9348,388.90222,247.8833,64381,371.6881,0.7674056,0.95360076,0.63071525,0.78180504,2.1149485,0.7403981,0
60693,1129.623,415.1253,282.1836,72861,382.70514,0.609095,0.9367948,0.5380495,0.7608331,2.1100624,0.7529561,1
59139,1128.4457,429.9354,253.25229,74448,387.63696,0.5999375,0.93979585,0.5116479,0.7553928,2.4863157,0.7650507,1
79054,1003.80334,429.9936,245.88838,64152,359.63943,0.6582826,0.93637455,0.6302475,0.6757167,2.0836644,0.7345573,0
74466,1088.9856,395.6526,270.8465,63141,374.24356,0.70221674,0.9470297,0.595391,0.7451844,2.1048846,0.72969747,1
57553,1208.5543,406.73502,283.73816,71799,367.79962,0.615165,0.9457718,0.538615,0.7289559,1.9441998,0.7052201,1
56757,1218.6755,409.4803,282.3404,72516,365.71854,0.6153412,0.94830227,0.544349,0.7218002,1.9345491,0.69970685,1
72534,1212.3948,431.5913,252.82814,70296,351.4519,0.5847303,0.94990546,0.5650731,0.6935403,2.1635747,0.6842462,1
81759,1288.7885,472.37823,226.50449,87870,348.71906,0.65465623,0.97862273,0.6629757,0.6798439,2.1630616,0.7259464,0
83960,1053.8317,445.8664,267.93295,69348,365.479,0.7079729,0.93387014,0.56611776,0.7900145,2.1273694,0.70392245,1
73476,984.17566,399.84988,255.38895,57034,370.44116,0.68476677,0.9424202,0.5989673,0.6894007,2.1157937,0.7442183,1
86903,1285.3461,412.24667,265.995,85967,352.6495,0.6780376,0.95627534,0.651011,0.728547,1.9042757,0.69198155,1
58687,1218.9507,477.38727,241.77287,93639,399.63025,0.66651356,0.9676441,0.62316144,0.77630615,2.3628824,0.8002976,1
97475,1279.3418,457.40607,271.06732,102256,326.61795,0.63265705,0.9588079,0.6490779,0.7540511,1.9630766,0.70518816,1
60849,1293.8555,410.57336,283.30185,80828,357.66052,0.6557504,0.97055054,0.6173012,0.7084675,1.8586025,0.6726903,1
72258,1098.4794,417.55124,277.91327,67411,370.6112,0.65379184,0.9292128,0.53644145,0.77187926,1.9795998,0.71416986,1
85760,1252.7603,428.64764,236.22433,61996,318.8516,0.66928345,0.96113473,0.6038556,0.7267026,2.0271065,0.73011297,0
71443,1143.9957,419.5179,289.08813,74549,370.0236,0.61493677,0.9300937,0.53323984,0.7623545,1.8382614,0.7328687,1
57523,1104.8502,401.00653,257.56027,67369,382.6366,0.65416276,0.95412225,0.6056687,0.73162234,2.152122,0.750659,1
75248,1110.0055,424.49036,259.67444,58874,336.92252,0.63758194,0.9304887,0.529324,0.70197594,1.8599155,0.6858908,1
56416,1120.7607,407.14203,259.94067,64708,373.50162,0.6329032,0.94867265,0.5558579,0.74746406,2.0818474,0.7308401,1
100316,1137.3867,468.83344,288.23392,90957,331.48175,0.70344234,0.95251256,0.63497615,0.7963202,1.907357,0.7359798,1
74392,1165.1002,416.1324,269.50497,79074,345.27112,0.68281555,0.9548321,0.5552763,0.755537,1.7888036,0.68102866,1
55297,1133.5991,438.1966,251.25461,75138,391.67667,0.60666305,0.9451989,0.5226023,0.7643857,2.3962007,0.76490974,1
69638,1080.8417,408.41876,254.54355,67239,358.9867,0.6098211,0.9297955,0.52394676,0.7472506,1.9149773,0.81964433,1
70008,1046.8284,394.55313,255.1568,57649,376.18225,0.68766373,0.9490988,0.6212608,0.683838,2.1693609,0.7460351,1
66488,1263.202,453.8092,255.03587,75389,341.65143,0.6288276,0.9601697,0.58818144,0.76580054,2.0036073,0.7143323,1
80628,1144.8392,419.59537,271.6725,70230,348.2763,0.6697497,0.9338286,0.55317795,0.71930647,1.7893189,0.6816768,1
73545,1078.6588,449.17334,265.54797,80655,385.23483,0.5965262,0.9325639,0.5382126,0.7646313,2.2745993,0.7758077,1
79740,1135.2961,436.18863,254.74194,77589,334.87866,0.5934063,0.9426149,0.55656147,0.73223895,1.9346944,0.78543246,0
82991,1139.7136,387.66812,259.51132,71529,378.87836,0.75734985,0.96381533,0.6450787,0.75490165,2.356792,0.75121176,0
89890,1143.7058,394.8165,229.92513,65122,328.78833,0.7020885,0.95218384,0.64603037,0.7086826,2.0050287,0.69049394,0
81702,1059.7212,451.9093,251.0503,77022,381.49713,0.72264636,0.94901544,0.6539805,0.72983414,2.366153,0.76692015,0
72237,1105.4058,449.54788,213.96394,63130,319.3077,0.63834846,0.9362935,0.58910584,0.6930001,2.0660007,0.6497021,1
56579,1089.9259,421.7646,264.07477,69773,380.6327,0.62187,0.9352765,0.5267349,0.79065096,2.1925588,0.74934983,1
76405,1053.1836,422.5825,265.92883,64172,367.44104,0.6941029,0.93218416,0.56493556,0.7691536,2.0309248,0.7078227,1
72313,1383.3586,433.48965,293.9647,92134,353.5594,0.7319273,0.9744378,0.64181924,0.82044756,1.8861595,0.6701314,1
77808,1109.3914,424.4556,274.72125,68272,359.45227,0.6669772,0.93115616,0.55349874,0.7522048,1.9207904,0.6967417,1
51808,1167.618,408.6365,259.52313,73752,383.19366,0.64967567,0.957947,0.59538347,0.7594231,2.0980577,0.7578044,1
60017,1059.1368,420.79294,265.63507,75764,394.78302,0.5608345,0.932175,0.5001985,0.75604874,2.372498,0.7815889,1
52376,1094.1635,418.84753,261.01532,70653,388.07993,0.62183285,0.94208354,0.53895324,0.7804209,2.2638497,0.75720763,1
70668,1006.4312,388.13727,264.80212,74180,387.42096,0.66327375,0.9443674,0.56013536,0.73417544,2.406994,0.75660235,1
85651,1070.9092,428.00992,253.13052,72298,358.43445,0.73615324,0.9409839,0.6016134,0.788955,2.0507808,0.7209729,1
70739,1038.5139,388.4195,250.93744,62410,378.12756,0.70037484,0.94705397,0.5919843,0.73291266,2.1149058,0.7257801,1
67739,1217.6595,406.82263,290.42062,71629,357.54028,0.6025132,0.9341669,0.5064696,0.73511535,1.7699218,0.6934368,1
66775,1065.3903,398.7483,268.7725,75782,390.47205,0.6036337,0.9380373,0.52889967,0.7465537,2.3769674,0.7609178,1
67399,1191.8757,405.7031,291.7437,70653,364.8639,0.6034115,0.9302566,0.49990514,0.75243837,1.7951261,0.7088705,1
74873,1163.5104,392.8073,276.0181,76725,363.01184,0.65562147,0.9399408,0.52219284,0.7530025,1.7961359,0.7139123,1
63514,1260.144,415.71536,269.14285,70728,335.87686,0.6107519,0.95697135,0.5727405,0.6466118,1.7419637,0.6421726,1
79696,1292.7407,397.66635,286.63022,89855,370.80774,0.7164626,0.95985,0.6358755,0.8222352,2.1419458,0.70956945,0
73289,1178.9495,533.2793,239.58856,93498,380.97614,0.66777766,0.93031526,0.65491605,0.80377114,2.732514,0.8022936,0
68479,1242.1665,409.63,286.33972,72997,347.00464,0.6024947,0.93693805,0.5091972,0.7114842,1.6863402,0.67733765,1
60303,1132.1968,450.8554,256.28687,90864,398.3474,0.62254405,0.9557886,0.5754972,0.7619168,2.4396439,0.79702955,0
54362,1119.1714,404.2745,267.78757,68840,379.34103,0.63356835,0.9414619,0.54715145,0.76847816,2.1074,0.7362386,1
72618,1286.6216,422.5688,278.0675,75540,326.41882,0.5958658,0.9368079,0.5003042,0.6820654,1.4737575,0.65120125,1
96262,1224.1847,448.12946,270.00012,90237,342.519,0.61792564,0.94673,0.61253726,0.6540342,1.8936287,0.70164555,1
82716,1003.3279,408.5594,245.29181,61839,360.69348,0.73884577,0.9406759,0.6012167,0.7219944,1.9784219,0.7182399,1
89726,1116.8739,432.72614,239.85678,54838,317.41132,0.716001,0.9418129,0.5952612,0.70432115,2.0411427,0.66781837,1
52041,1070.6466,446.44458,212.28537,59033,365.94965,0.61344796,0.92210335,0.468,0.81396854,2.3833828,0.79452133,1
60797,1125.9548,415.0803,276.7524,69753,374.1173,0.6230166,0.93252987,0.51975334,0.78457755,1.9960358,0.7320306,1
52616,1170.303,427.46014,243.63107,74580,392.45007,0.6325666,0.93653065,0.56245697,0.8179804,2.295874,0.80739003,1
58472,1304.3516,431.8087,281.83673,79077,378.8064,0.6893597,0.9677428,0.65636647,0.6858237,2.1709938,0.72162586,1
86873,1200.9448,438.9609,275.0436,76553,340.30273,0.6719137,0.93898845,0.5743159,0.7373623,1.8020834,0.6926965,1
65108,1079.8649,442.9735,248.3854,70516,383.14093,0.6658716,0.93639135,0.58956325,0.7913983,2.1846642,0.764695,0
66164,1219.8776,401.06192,278.6689,71905,354.32092,0.6290511,0.94820386,0.5555011,0.6841065,1.8521936,0.67699367,1
72307,1184.96,412.33313,262.5125,63654,336.81906,0.6172447,0.9427534,0.5600652,0.649716,1.7842299,0.67811555,1
62149,1126.1897,403.33926,276.665,67501,377.64478,0.6501608,0.94533813,0.57795507,0.73112935,2.0713644,0.72318774,1
64247,1217.402,397.1886,274.21524,69580,358.4866,0.59719557,0.9316077,0.50428534,0.72073185,1.8727207,0.72051483,1
80760,1264.9802,456.60602,239.51956,95266,351.66345,0.56425476,0.9648575,0.62428975,0.74105066,2.4640825,0.7635008,0
75980,1120.2559,433.07043,286.0116,77232,369.33405,0.6232168,0.93209684,0.5491826,0.7641213,1.8938869,0.7396574,1
85285,1163.4788,422.24652,245.22601,82874,364.21283,0.66167396,0.96212107,0.61622125,0.66136014,2.2036552,0.703997,0
55682,1064.1218,400.38312,249.1958,60756,373.42322,0.61397487,0.9310824,0.5249482,0.7563249,2.1129272,0.76208854,1
83775,1223.9565,426.89053,298.00006,81670,343.92896,0.5902661,0.9369178,0.56822217,0.67174286,1.5473564,0.7107829,1
70431,1110.7245,438.78897,275.6775,79174,377.00864,0.59885263,0.9301989,0.54852057,0.7614325,1.9830956,0.7693879,1
59114,1092.9194,411.06003,272.1275,71615,389.84204,0.5841961,0.9339598,0.5060843,0.76611507,2.2418103,0.75613415,1
104242,1186.4692,469.68585,266.60852,75430,306.79196,0.70023227,0.94568074,0.6140337,0.69686425,1.6948891,0.686391,1
67530,1171.4377,390.70673,249.23322,65281,355.3452,0.65496564,0.93185997,0.55711204,0.7417561,1.9725809,0.7216173,1
71503,1137.7952,423.8628,258.7333,72594,377.2966,0.5733824,0.9361698,0.5154808,0.699809,2.2084646,0.7063932,1
99515,1115.2997,444.28604,224.88109,56664,308.76453,0.7292297,0.9538358,0.66943574,0.68494654,2.4537556,0.68545264,0
65326,1017.6951,435.42764,258.23505,71147,384.05127,0.62026995,0.9313593,0.5362734,0.75680804,2.2991595,0.7509399,1
64125,1160.8359,446.91232,248.9017,78115,391.85236,0.6689887,0.9338023,0.6018851,0.8153378,2.3585505,0.7912897,0
77162,1037.8911,430.6615,266.82056,69656,361.91025,0.6858509,0.935116,0.585026,0.75447786,1.9860387,0.7169982,1
90088,985.3528,444.24164,260.01288,66106,354.6076,0.7552707,0.93797123,0.6081003,0.7537149,2.0182562,0.6988352,1
72945,1260.3322,420.79727,278.49512,73663,330.7057,0.6033219,0.9353074,0.5079641,0.6854869,1.5481476,0.656961,1
80283,1313.28,471.51605,265.6971,78976,321.45346,0.61634314,0.96825117,0.63188505,0.7529855,1.8990355,0.6970006,1
98116,1087.6179,442.26953,244.16254,78885,353.7681,0.73545045,0.9525841,0.61973107,0.6665582,2.0849044,0.6980884,0
77036,1178.5679,361.67386,253.38045,76934,379.72607,0.6906991,0.9412328,0.60647285,0.7543279,1.8914826,0.78452533,0
77400,1178.7228,430.92072,255.52869,74948,341.18457,0.62998104,0.95113784,0.57451254,0.7646977,2.111625,0.7483706,1
86192,1101.8616,450.7163,287.9734,77909,358.27274,0.6696068,0.93639153,0.58047664,0.7717924,1.8267117,0.7155636,1
89484,1192.0043,397.69443,256.4789,87526,366.36414,0.7074832,0.949154,0.6343914,0.763855,1.9658511,0.760135,0
60588,1205.3901,410.25034,259.08893,64801,360.7843,0.6089731,0.93154687,0.49466524,0.77158165,1.9597262,0.7434796,1
64700,1020.1845,424.65747,251.67685,71242,382.69055,0.6296679,0.93222564,0.5400734,0.77339923,2.215761,0.7663716,1
93889,1027.247,439.32635,231.79568,63921,321.25345,0.7285862,0.9429875,0.6300004,0.6450671,1.8797895,0.677999,1
70634,1101.426,414.2589,240.85403,69561,366.90918,0.6839645,0.93793344,0.60061145,0.7724026,2.1226008,0.72415733,1
52524,1137.4164,401.49054,265.16614,68017,376.13257,0.63172626,0.94781053,0.5469978,0.76178825,2.0700336,0.72791237,1
51724,1175.1188,407.8181,277.50888,71394,381.16678,0.63463,0.9493934,0.5574376,0.7390039,2.0747206,0.7259774,1
62794,1310.545,509.76672,229.80075,89052,385.6311,0.60412925,0.9547618,0.60098726,0.8230947,2.612154,0.7716301,1
69614,1154.6759,417.49637,290.44055,75607,370.26205,0.6048873,0.930926,0.53327966,0.7603927,1.8276103,0.7369236,1
63496,1077.0544,422.6376,267.80234,83057,402.8742,0.59040695,0.9336046,0.5429481,0.75265384,2.4819546,0.82018155,0
76668,1339.6455,416.35245,267.06592,77980,335.08475,0.6830649,0.9685951,0.6246962,0.6801802,1.7960334,0.671451,1
70233,1144.2002,395.6526,287.33075,72165,372.94373,0.6236162,0.9310638,0.51260686,0.76022196,1.8496512,0.72470176,1
